epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.518,0.79714,2.63448,1.05162,0.00347,1,0.62463,0.55853,0.50925,2.74656,0.79929,0.00035007,0.00035007,0.00035007
2,520.165,0.64972,1.56935,0.91481,0.82578,0.72727,0.80455,0.70415,0.56835,2.19149,0.82228,0.000681328,0.000681328,0.000681328
3,754.92,0.61745,1.3938,0.91047,0.88759,0.44915,0.82836,0.66268,0.87076,2.28488,0.94375,0.000976279,0.000976279,0.000976279
4,1003.44,0.59043,1.26697,0.89574,0.86101,0.81308,0.90205,0.79339,0.53703,1.43738,0.80003,0.00123492,0.00123492,0.00123492
5,1238.1,0.57188,1.19645,0.89408,0.72762,0.81592,0.87505,0.72084,0.68238,1.61757,0.85659,0.00133693,0.00133693,0.00133693
6,1466.62,0.58273,1.06808,0.89149,0.53503,0.47533,0.46775,0.36542,0.89917,3.2163,1.04329,0.00125442,0.00125442,0.00125442
7,1691.35,0.55867,0.98275,0.8852,0.80776,0.7786,0.77907,0.65142,0.64911,1.87964,0.86139,0.0011719,0.0011719,0.0011719
8,1952.9,0.51032,0.91263,0.86539,0.93409,0.96282,0.97701,0.87417,0.47993,0.72603,0.78239,0.00108938,0.00108938,0.00108938
9,2192.92,0.51976,0.89766,0.87007,0.77144,0.82955,0.94066,0.84313,0.48559,1.31617,0.78716,0.00100687,0.00100687,0.00100687
10,2427.67,0.51265,0.8224,0.86893,0.94478,0.85193,0.93856,0.85298,0.43186,0.81598,0.77276,0.000924352,0.000924352,0.000924352
11,2669.89,0.42596,0.95666,0.80594,0.94398,0.95232,0.98044,0.89649,0.43504,0.6279,0.77453,0.000841835,0.000841835,0.000841835
12,2909.07,0.44203,0.89258,0.81826,0.86051,0.94457,0.97497,0.88499,0.46041,0.89427,0.7799,0.000759318,0.000759318,0.000759318
13,3134.22,0.39078,0.81892,0.79995,0.85177,0.91297,0.96749,0.88232,0.4176,0.82947,0.76664,0.000676802,0.000676802,0.000676802
14,3356.76,0.38161,0.73799,0.80842,0.95205,0.93218,0.98126,0.90158,0.39352,0.62871,0.76267,0.000594286,0.000594286,0.000594286
15,3580.72,0.38159,0.68812,0.7997,0.94046,0.92412,0.97093,0.90655,0.40789,0.68259,0.77531,0.000511769,0.000511769,0.000511769
16,3803.14,0.3662,0.67077,0.80343,0.92271,0.95977,0.97938,0.91603,0.36836,0.60535,0.76514,0.000429253,0.000429253,0.000429253
17,4025.15,0.36012,0.63966,0.78901,0.93077,0.95746,0.97548,0.91235,0.38319,0.56949,0.76366,0.000346736,0.000346736,0.000346736
18,4248.14,0.34883,0.6243,0.79368,0.92581,0.89907,0.97829,0.91935,0.371,0.66922,0.76194,0.00026422,0.00026422,0.00026422
19,4472.76,0.33521,0.61007,0.80241,0.95369,0.97169,0.9815,0.9309,0.36172,0.47137,0.76028,0.000181703,0.000181703,0.000181703
20,4693.41,0.32794,0.58285,0.79729,0.95585,0.97003,0.9807,0.93703,0.3474,0.44719,0.75594,9.91865e-05,9.91865e-05,9.91865e-05
